antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
2,865.7,1678,epc,e28011b0a5050077ab38217c,-72,172.1610107421875,1,2026-03-31T10:01:00.365000+00:00,CUSTOM,1774951260365
2,865.7,1679,epc,e28011c1a5000062f793d1ec,-71,-81.94403076171875,1,2026-03-31T10:01:00.375000+00:00,CUSTOM,1774951260375
2,865.7,1680,epc,e28011c1a50000703f0412d8,-72,-127.50572204589844,1,2026-03-31T10:01:00.385000+00:00,CUSTOM,1774951260385
2,865.7,1681,epc,e28069950000400f97d2aa53,-71,166.10736083984375,1,2026-03-31T10:01:00.385000+00:00,CUSTOM,1774951260385
2,865.7,1682,epc,e2801191a5030069565f3180,-73,57.68547439575195,1,2026-03-31T10:01:00.395000+00:00,CUSTOM,1774951260395
2,865.7,1683,epc,e82011122223333444450011,-68,-110.28961944580078,1,2026-03-31T10:01:00.395000+00:00,CUSTOM,1774951260395
2,865.7,1684,epc,e28011c1a5000062f79421bc,-71,86.06951904296875,1,2026-03-31T10:01:00.405000+00:00,CUSTOM,1774951260405
2,865.7,1685,epc,e28011b0a5050077ab3913b4,-70,50.58809280395508,1,2026-03-31T10:01:00.415000+00:00,CUSTOM,1774951260415
3,865.7,1686,epc,e28069950000500f97d78e54,-62,92.7439193725586,1,2026-03-31T10:01:00.425000+00:00,CUSTOM,1774951260425
3,865.7,1687,epc,303800000222a0000000001a,-56,-104.7358627319336,1,2026-03-31T10:01:00.446000+00:00,CUSTOM,1774951260446
3,865.7,1688,epc,303800000222a00000000023,-53,166.99728393554688,1,2026-03-31T10:01:00.466000+00:00,CUSTOM,1774951260466
3,865.7,1689,epc,e28011c1a5000062f793c97c,-61,119.69969940185547,1,2026-03-31T10:01:00.507000+00:00,CUSTOM,1774951260507
3,865.7,1690,epc,303800000aaa900000000019,-57,94.91378784179688,1,2026-03-31T10:01:00.548000+00:00,CUSTOM,1774951260548
3,865.7,1691,epc,e28011b0a5050077ab39ce09,-50,112.99234008789062,1,2026-03-31T10:01:00.558000+00:00,CUSTOM,1774951260558
4,865.7,1692,epc,e28011b0a5050077ab397ab9,-58,-24.66506004333496,1,2026-03-31T10:01:00.620000+00:00,CUSTOM,1774951260620
4,865.7,1693,epc,e28011b0a5050077ab3821dc,-58,175.70420837402344,1,2026-03-31T10:01:00.640000+00:00,CUSTOM,1774951260640
