antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
1,866.9,2043,epc,e28069950000400f97d67e52,-58,-49.11038589477539,1,2026-03-31T10:03:00.199000+00:00,CUSTOM,1774951380199
1,866.9,2044,epc,e28069950000400f97d83644,-61,127.983642578125,1,2026-03-31T10:03:00.199000+00:00,CUSTOM,1774951380199
2,866.9,2045,epc,e28011b0a5050077ab36c707,-67,46.737266540527344,1,2026-03-31T10:03:00.219000+00:00,CUSTOM,1774951380219
2,866.9,2046,epc,e28011b0a5050077ab38217c,-71,-145.98529052734375,1,2026-03-31T10:03:00.220000+00:00,CUSTOM,1774951380220
2,866.9,2047,epc,e28011b0a5050077ab36c7a4,-71,41.34830856323242,1,2026-03-31T10:03:00.230000+00:00,CUSTOM,1774951380230
2,866.9,2048,epc,e28069950000500f97d6fa53,-68,-70.50141906738281,1,2026-03-31T10:03:00.230000+00:00,CUSTOM,1774951380230
2,866.9,2049,epc,e28011b0a5050077ab372dd5,-74,23.54991340637207,1,2026-03-31T10:03:00.240000+00:00,CUSTOM,1774951380240
2,866.9,2050,epc,e28069950000500f97d6ae52,-68,-115.39842224121094,1,2026-03-31T10:03:00.250000+00:00,CUSTOM,1774951380250
2,866.9,2051,epc,e28011b0a5050077ab3981b9,-73,79.1644058227539,1,2026-03-31T10:03:00.250000+00:00,CUSTOM,1774951380250
2,866.9,2052,epc,e2801191a5030069565f3150,-71,90.58503723144531,1,2026-03-31T10:03:00.260000+00:00,CUSTOM,1774951380260
2,866.9,2053,epc,e82011122223333444450011,-63,-65.34867095947266,1,2026-03-31T10:03:00.261000+00:00,CUSTOM,1774951380261
2,866.9,2054,epc,e28011b0a5050077ab398181,-67,-126.12689208984375,1,2026-03-31T10:03:00.271000+00:00,CUSTOM,1774951380271
2,866.9,2055,epc,e28069950000500f97d8aa52,-71,63.892940521240234,1,2026-03-31T10:03:00.271000+00:00,CUSTOM,1774951380271
2,866.9,2056,epc,e28011b0a5050077ab39c776,-64,39.255348205566406,1,2026-03-31T10:03:00.281000+00:00,CUSTOM,1774951380281
2,866.9,2057,epc,e28069950000400f97d63a43,-74,43.847774505615234,1,2026-03-31T10:03:00.281000+00:00,CUSTOM,1774951380281
2,866.9,2058,epc,e28011b0a5050077ab3a2d16,-64,-45.78691864013672,1,2026-03-31T10:03:00.291000+00:00,CUSTOM,1774951380291
2,866.9,2059,epc,e28011c1a50000703f012e89,-76,58.26776885986328,1,2026-03-31T10:03:00.291000+00:00,CUSTOM,1774951380291
2,866.9,2060,epc,e28069950000500f97d29250,-72,-102.81319427490234,1,2026-03-31T10:03:00.311000+00:00,CUSTOM,1774951380311
2,866.9,2061,epc,e28069950000400f97d69250,-70,-32.67433547973633,1,2026-03-31T10:03:00.311000+00:00,CUSTOM,1774951380311
2,866.9,2062,epc,e28011c1a5000062f794a52c,-67,-70.25971221923828,1,2026-03-31T10:03:00.321000+00:00,CUSTOM,1774951380321
2,866.9,2063,epc,e28011b0a5050077ab38210c,-75,110.36103057861328,1,2026-03-31T10:03:00.322000+00:00,CUSTOM,1774951380322
2,866.9,2064,epc,e28069950000500f97d6fa55,-70,-105.92242431640625,1,2026-03-31T10:03:00.332000+00:00,CUSTOM,1774951380332
2,866.9,2065,epc,e28011c1a50000703f052ea8,-67,150.5502471923828,1,2026-03-31T10:03:00.342000+00:00,CUSTOM,1774951380342
2,866.9,2066,epc,e2801191a5030069565f2c00,-69,42.35908126831055,1,2026-03-31T10:03:00.352000+00:00,CUSTOM,1774951380352
2,866.9,2067,epc,e28011b0a5050077ab3981a9,-71,-23.033540725708008,1,2026-03-31T10:03:00.352000+00:00,CUSTOM,1774951380352
3,866.9,2068,epc,e28069950000400f97d37e52,-57,-22.555620193481445,1,2026-03-31T10:03:00.382000+00:00,CUSTOM,1774951380382
3,866.9,2069,epc,303800000111c10000000012,-59,-174.6275177001953,1,2026-03-31T10:03:00.393000+00:00,CUSTOM,1774951380393
3,866.9,2070,epc,e28069950000500f97d4de51,-56,174.07818603515625,1,2026-03-31T10:03:00.413000+00:00,CUSTOM,1774951380413
3,866.9,2071,epc,e28069950000400f97d33651,-60,-10.299997329711914,1,2026-03-31T10:03:00.494000+00:00,CUSTOM,1774951380494
4,866.9,2072,epc,e28069950000500f97d2c250,-70,-124.17127227783203,1,2026-03-31T10:03:00.546000+00:00,CUSTOM,1774951380546
4,866.9,2073,epc,303800000444a10000000016,-60,-127.9122314453125,1,2026-03-31T10:03:00.597000+00:00,CUSTOM,1774951380597
4,866.9,2074,epc,e28011b0a5050077ab3a2d11,-58,45.99566650390625,1,2026-03-31T10:03:00.618000+00:00,CUSTOM,1774951380618
1,866.9,2075,epc,e28069950000400f97d37e52,-60,12.980742454528809,1,2026-03-31T10:03:00.669000+00:00,CUSTOM,1774951380669
1,866.9,2076,epc,303800000777e00000000008,-66,129.4174041748047,1,2026-03-31T10:03:00.679000+00:00,CUSTOM,1774951380679
